Kisielewski,Marceli
Korzec,Sergiusz
Morawiec,Bonifacy
Dulski,Werner
Radtke,Eligiusz
Kopera,Wawrzyniec
Jarosiński,Kamil
Zwolak,Łucjan
Godula,Olgierd
Podyma,Arnold
Trzaski,Jacenty
Skrzypczyński,Dawid
Marecki,Ewald
Linek,Manfred
Tarka,Emilian
Moliński,Klaudiusz
Rosa,Zbysław
Biedroń,Igor
Rychlewski,Benon
Głowala,Jędrzej
Kunc,Wit
Karolczak,Zbigniew
Grzanka,Apolinary
Pawluczuk,Fabian
Florczyk,Zenobiusz
Wiszniewski,Horst
Sieniawski,Gerhard
Chudziak,Roland
Olejnik,Euzebiusz
Czapliński,Hipolit
Poloczek,Filip
Różycki,Nikodem
Kalemba,Miron
Choiński,January
Piwoński,Kajetan
Chrostek,Bazyl
Rygielski,Emanuel
Borek,Idzi
Dzięgielewski,Roman
Bandura,August
Jaczewski,Dymitr
Jaskuła,Ksawery
Sobek,Ludomir
Płaczek,Waldemar
Paź,Lubomir
Starzyński,Witalis
Golis,Roch
Brodziak,Miłosz
Berent,Telesfor
Gucwa,Wacław
Szatan,Ziemowit
Szymik,Borys
Szopa,Oskar
Sobczyk,Zbyszko
Mrozowski,Krystyn
Rosa,Marcin
Papuga,Rajmund
Pokrywka,Szymon
Michalik,Zygfryd
Burczyk,Leopold
Chudy,Remigiusz
Roguski,Florian
Gdaniec,Konstanty
Nakielski,Augustyn
Kwapisz,Albin
Dulski,Sylwester
Sidorowicz,Dominik
Kowalkowski,Gabriel
Hołda,Teofil
Nycz,Brunon
Ignatowski,Juliusz
Kortas,Walerian
Michna,Bartłomiej
Tabaka,Fryderyk
Bułat,Eryk
Kuśmierski,Anatol
Strzelczyk,Maksymilian
Trzebiatowski,Gustaw
Rachwalski,Aleksy
Gawryś,Longin
Konopiński,Bartosz
Wardziński,Wilhelm
Kaczmarski,Ferdynand
Rutkiewicz,Erwin
Szumiński,Klemens
Suwała,Lechosław
Antonowicz,Benedykt
Grzybowski,Seweryn
Nowowiejski,Herbert
Kościński,Albert
Czyż,Błażej
Rolka,Izydor
Witczak,Dionizy
Szlachetka,Edwin
Deręgowski,Ginter
Skwara,Adrian
Chamera,Mateusz
Czopek,Walter
Gąska,Helmut
Popielarz,Bazyli
